ward,date_diff,case_status
21,4000,Closed
11,67350000,Closed
12,13353000,Closed
5,67000000,Closed
11,702009000,Closed
18,13402000,Closed
10,867000,Closed
20,1000,Closed
3,1000,Closed
22,75552000,Closed
15,153306000,Closed
18,1000,Closed
18,1000,Closed
6,1000,Closed
20,6000,Closed
18,9742000,Closed
22,1000,Closed
18,12694000,Closed
22,2000,Closed
20,1000,Closed
20,496163000,Closed
22,171000,Closed
11,162062000,Closed
21,14613000,Closed
13,848000,Closed
14,1000,Closed
11,1000,Closed
2,1952836000,Closed
9,427424000,Closed
1,1000,Closed
9,1000,Closed
20,2000,Closed
17,28832405000,Closed
20,1000,Closed
20,1000,Closed
19,3494000,Closed
19,2000,Closed
19,2000,Closed
10,82736000,Closed
3,21217000,Closed
21,8000,Closed
20,1000,Closed
18,13227193000,Closed
18,1000,Closed
21,66332000,Closed
20,2000,Closed
20,1000,Closed
7,232668000,Closed
5,698137000,Closed
17,1000,Closed
20,11569000,Closed
2,1000,Closed
3,5000,Closed
3,1000,Closed
18,3224000,Closed
18,304255000,Closed
14,254671000,Closed
19,3000,Closed
18,2000,Closed
18,12000,Closed
17,1000,Closed
9,243238000,Closed
19,1000,Closed
19,1000,Closed
20,1000,Closed
18,1000,Closed
6,169000,Closed
19,1000,Closed
19,5000,Closed
18,68727000,Closed
1,1000,Closed
21,1000,Closed
11,1000,Closed
14,1000,Closed
11,1000,Closed
17,1000,Closed
22,63389000,Closed
14,1000,Closed
22,36186000,Closed
8,110640000,Closed
17,1628000,Closed
3,2939860000,Closed
18,4409000,Closed
11,62300000,Closed
18,77803000,Closed
20,1000,Closed
3,2000,Closed
19,1000,Closed
19,1000,Closed
3,78641000,Closed
3,3571000,Closed
11,1000,Closed
1,1000,Closed
20,21611000,Closed
4,100674000,Closed
8,155757000,Closed
6,2000,Closed
5,92988000,Closed
11,1000,Closed
18,10101000,Closed
14,366358000,Closed
14,234090000,Closed
21,148138000,Closed
12,196593000,Closed
20,1000,Closed
11,78641000,Closed
8,1000,Closed
15,1000,Closed
4,1000,Closed
19,79432000,Closed
17,2000,Closed
20,2000,Closed
18,1000,Closed
14,1000,Closed
19,65337000,Closed
21,174357000,Closed
2,39232000,Closed
19,1000,Closed
8,1000,Closed
14,6547000,Closed
19,5862000,Closed
5,92826000,Closed
20,1000,Closed
1,1891000,Closed
5,2153000,Closed
21,3000,Closed
20,1000,Closed
18,1000,Closed
21,6000,Closed
7,84543000,Closed
8,1000,Closed
18,12434000,Closed
5,5861000,Closed
4,1000,Closed
20,55451000,Closed
18,3717000,Closed
20,63995000,Closed
18,90563000,Closed
4,85935000,Closed
20,1000,Closed
18,286000,Closed
11,160139000,Closed
18,1000,Closed
4,84856000,Closed
21,5000,Closed
18,1000,Closed
14,5353000,Closed
3,2000,Closed
1,1000,Closed
22,66526000,Closed
14,16957000,Closed
18,11629000,Closed
8,323923000,Closed
19,172736000,Closed
10,99099000,Closed
9,91527000,Closed
3,3126000,Closed
18,9430000,Closed
18,3689000,Closed
3,5429000,Closed
18,71618000,Closed
17,2303000,Closed
5,245584000,Closed
13,567305000,Closed
7,244453000,Closed
18,7810000,Closed
20,2000,Closed
17,178012000,Closed
19,66082000,Closed
8,112053000,Closed
5,101863000,Closed
14,1000,Closed
21,245809000,Closed
19,1000,Closed
18,1000,Closed
8,1000,Closed
3,85197000,Closed
19,1000,Closed
20,1000,Closed
11,36922000,Closed
18,2036000,Closed
5,84628000,Closed
20,1000,Closed
13,242975000,Closed
3,94744000,Closed
20,1000,Closed
20,1000,Closed
1,170322000,Closed
3,7449000,Closed
18,16080000,Closed
6,3712575000,Closed
3,103973000,Closed
18,1000,Closed
22,4781000,Closed
2,1000,Closed
17,2000,Closed
18,77320000,Closed
13,1000,Closed
21,2000,Closed
3,783029000,Closed
20,1000,Closed
3,2000,Closed
3,2000,Closed
18,3000,Closed
18,82635000,Closed
14,15199000,Closed
20,1000,Closed
20,2000,Closed
14,1974000,Closed
4,15687581000,Closed
17,25000,Closed
5,12761000,Closed
4,3549000,Closed
1,1000,Closed
2,157000,Closed
20,1000,Closed
11,105306000,Closed
4,24895000,Closed
19,508000,Closed
18,1000,Closed
21,1000,Closed
1,1000,Closed
15,7193000,Closed
15,77879000,Closed
3,246467000,Closed
20,7000,Closed
7,1000,Closed
18,1000,Closed
20,1000,Closed
12,1000,Closed
18,1000,Closed
11,4000,Closed
8,100930000,Closed
19,2000,Closed
19,74327000,Closed
18,2000,Closed
13,1000,Closed
9,2000,Closed
3,1687000,Closed
16,6348000,Closed
19,1000,Closed
17,2000,Closed
21,1000,Closed
18,4679000,Closed
5,8258000,Closed
13,156359000,Closed
9,182582000,Closed
19,1000,Closed
20,98329000,Closed
3,52000,Closed
20,1000,Closed
22,425315000,Closed
10,11621000,Closed
9,1000,Closed
11,1000,Closed
3,18136000,Closed
1,2000,Closed
18,1000,Closed
11,26131000,Closed
3,2000,Closed
20,2090692000,Closed
6,522969000,Closed
2,6000,Closed
8,16359134000,Closed
5,1612058000,Closed
2,322991000,Closed
22,4645000,Closed
4,49032000,Closed
18,1140000,Closed
4,823000,Closed
2,1000,Closed
20,1000,Closed
5,522061000,Closed
4,34703000,Closed
18,1015000,Closed
1,1000,Closed
21,4000,Closed
18,1227000,Closed
4,563000,Closed
4,11813000,Closed
6,355970000,Closed
2,3000,Closed
4,335092000,Closed
4,325031000,Closed
10,465000,Closed
11,1000,Closed
4,7168000,Closed
4,491000,Closed
18,935000,Closed
18,1475000,Closed
17,182483000,Closed
4,543000,Closed
5,1000,Closed
4,886000,Closed
21,2301852000,Closed
5,158130000,Closed
8,413805000,Closed
17,183341000,Closed
16,87352000,Closed
18,1065000,Closed
3,174367000,Closed
19,148482000,Closed
3,94211000,Closed
16,12789000,Closed
13,1000,Closed
4,4497000,Closed
16,78385000,Closed
4,709000,Closed
4,324000,Closed
17,183114000,Closed
1,2000,Closed
6,1000,Closed
21,294000,Closed
8,71087000,Closed
22,62512000,Closed
3,1000,Closed
17,48746000,Closed
11,2000,Closed
3,2000,Closed
4,1000,Closed
16,639000,Closed
22,82134000,Closed
16,173000,Closed
14,47182000,Closed
20,7747000,Closed
18,210000,Closed
20,12011000,Closed
11,1000,Closed
3,83192000,Closed
4,18435000,Closed
22,73771000,Closed
4,216000,Closed
3,1000,Closed
3,412000,Closed
11,3000,Closed
5,1000,Closed
6,88686000,Closed
18,73769000,Closed
18,80165000,Closed
3,4000,Closed
20,8241000,Closed
11,1000,Closed
20,7953000,Closed
1,3938000,Closed
1,1242000,Closed
22,75226000,Closed
22,77700000,Closed
1,1877000,Closed
4,58267000,Closed
16,160000,Closed
18,15629000,Closed
3,66268000,Closed
6,53588000,Closed
1,3014000,Closed
4,80773000,Closed
21,523565000,Closed
6,84202000,Closed
5,11885000,Closed
22,76068000,Closed
3,1000,Closed
4,2000,Closed
12,65496000,Closed
18,157838000,Closed
21,971000,Closed
6,2000,Closed
17,72773000,Closed
18,16466000,Closed
14,2764000,Closed
20,17865000,Closed
4,387275000,Closed
21,80538000,Closed
3,247000,Closed
18,71622000,Closed
8,111000,Closed
1,3096000,Closed
4,2000,Closed
22,512227000,Closed
21,80142000,Closed
20,356374000,Closed
4,2444000,Closed
20,12764000,Closed
20,9156000,Closed
19,78207000,Closed
22,73346000,Closed
11,491000,Closed
1,3613000,Closed
11,2000,Closed
7,84800000,Closed
1,4237000,Closed
4,1000,Closed
11,2000,Closed
4,899000,Closed
4,1000,Closed
19,135000,Closed
4,156000,Closed
4,627000,Closed
14,2981000,Closed
6,1202000,Closed
1,4552000,Closed
22,75895000,Closed
14,800000,Closed
4,1000,Closed
3,2000,Closed
1,2048000,Closed
20,8680000,Closed
20,8666000,Closed
18,80315000,Closed
11,1000,Closed
18,72850000,Closed
18,73000000,Closed
16,93155000,Closed
17,3698000,Closed
18,70990000,Closed
3,2000,Closed
18,74319000,Closed
22,396000,Closed
21,53375000,Closed
19,153000,Closed
3,1000,Closed
20,12716000,Closed
21,76337000,Closed
4,1000,Closed
1,1782000,Closed
6,83728000,Closed
18,233639000,Closed
5,1450000,Closed
3,1000,Closed
21,160140000,Closed
3,2000,Closed
20,91000,Closed
3,180421000,Closed
1,1599000,Closed
21,62458000,Closed
4,3000,Closed
4,4000,Closed
6,88607000,Closed
4,2000,Closed
16,306000,Closed
6,83916000,Closed
18,3000,Closed
17,540000,Closed
7,667380000,Closed
11,80444000,Closed
14,2611000,Closed
4,817000,Closed
4,2000,Closed
19,208755000,Closed
18,74578000,Closed
4,1000,Closed
1,2587000,Closed
4,2000,Closed
11,2000,Closed
20,136000,Closed
1,2562000,Closed
18,238794000,Closed
3,1000,Closed
18,357000,Closed
21,7702000,Closed
18,2000,Closed
4,1000,Closed
18,89000,Closed
3,66780000,Closed
10,171449000,Closed
4,549000,Closed
4,1000,Closed
22,512962000,Closed
21,55813000,Closed
4,2000,Closed
21,172770000,Closed
4,1000,Closed
18,556000,Closed
6,86031000,Closed
11,1000,Closed
4,1088000,Closed
5,1451000,Closed
3,3736000,Closed
1,3427000,Closed
16,400000,Closed
11,104000,Closed
5,1482000,Closed
20,9996000,Closed
18,15737000,Closed
20,8499000,Closed
4,1000,Closed
20,8361000,Closed
22,176766000,Closed
4,634000,Closed
11,3000,Closed
3,1000,Closed
21,21813000,Closed
18,1632000,Closed
17,67479000,Closed
20,88320000,Closed
11,2021000,Closed
8,487257000,Closed
11,1000,Closed
5,125246000,Closed
5,166183000,Closed
16,74772000,Closed
20,56801000,Closed
22,28136000,Closed
4,487702000,Closed
8,1465000,Closed
20,88229000,Closed
6,1793000,Closed
9,3918000,Closed
8,1082000,Closed
9,1923000,Closed
9,101391000,Closed
11,2179000,Closed
2,87376000,Closed
11,1064000,Closed
8,813000,Closed
2,90359000,Closed
17,49841000,Closed
11,1878000,Closed
9,3787000,Closed
20,3938000,Closed
17,82656000,Closed
22,41429000,Closed
9,883000,Closed
9,3886000,Closed
2,86024000,Closed
14,79772000,Closed
11,612000,Closed
4,144444000,Closed
21,286353000,Closed
14,78813000,Closed
18,53996000,Closed
2,80690000,Closed
22,40958000,Closed
9,838000,Closed
8,1057000,Closed
2,172793000,Closed
21,157666000,Closed
11,1079000,Closed
9,809000,Closed
11,1949000,Closed
8,4302000,Closed
2,342304000,Closed
20,88340000,Closed
1,5624779000,Closed
4,5541000,Closed
18,3000,Closed
9,211000,Closed
16,2000,Closed
18,4000,Closed
18,2000,Closed
4,8935000,Closed
20,1000,Closed
8,565000,Closed
5,5735000,Closed
18,2000,Closed
22,139000,Closed
3,5268000,Closed
22,10937000,Closed
18,2000,Closed
16,1000,Closed
18,2000,Closed
8,94950000,Closed
22,101000,Closed
18,85575000,Closed
5,3346000,Closed
18,1000,Closed
18,1000,Closed
5,1000,Closed
3,102000000,Closed
12,297000,Closed
12,1607000,Closed
5,163484000,Closed
15,1270000,Closed
2,176714000,Closed
18,903000,Closed
5,153910000,Closed
2,173367000,Closed
6,10264000,Closed
16,2000,Closed
10,15716000,Closed
22,16402000,Closed
5,690068000,Closed
22,11047000,Closed
9,838000,Closed
22,139050000,Closed
22,150000,Closed
6,10166000,Closed
6,2000,Closed
12,4871000,Closed
16,1000,Closed
21,143000,Closed
22,101760000,Closed
5,962254000,Closed
11,92465000,Closed
15,1000,Closed
18,1000,Closed
18,33863000,Closed
15,108485000,Closed
3,73858000,Closed
4,11012000,Closed
22,17088000,Closed
9,890000,Closed
4,69849000,Closed
18,1000,Closed
9,1388000,Closed
3,2155065000,Closed
3,94470000,Closed
9,862000,Closed
5,34439000,Closed
5,186604000,Closed
18,1000,Closed
21,11028000,Closed
18,2000,Closed
18,1000,Closed
18,69671000,Closed
6,1000,Closed
22,148210000,Closed
15,1194000,Closed
21,13976000,Closed
18,168722000,Closed
6,3000,Closed
18,2000,Closed
18,2000,Closed
15,168973000,Closed
5,174562000,Closed
19,7695000,Closed
18,264591000,Closed
3,239986000,Closed
3,94380000,Closed
9,1000,Closed
18,86699000,Closed
18,1000,Closed
18,2000,Closed
6,2964000,Closed
3,340632000,Closed
18,2000,Closed
5,238189000,Closed
9,262650000,Closed
12,1116000,Closed
18,1000,Closed
18,1000,Closed
9,1402000,Closed
3,384314000,Closed
12,7490000,Closed
5,238246000,Closed
5,190523000,Closed
12,1118000,Closed
3,14450000,Closed
5,238285000,Closed
18,3000,Closed
15,258096000,Closed
6,2595000,Closed
19,173645000,Closed
18,2000,Closed
19,75718000,Closed
19,1000,Closed
5,1294000,Closed
22,5056000,Closed
15,257896000,Closed
12,1059000,Closed
5,400726000,Closed
14,232058000,Closed
18,1000,Closed
19,166551000,Closed
19,63657000,Closed
5,1811000,Closed
11,3000,Closed
4,60759000,Closed
5,9260000,Closed
12,285000,Closed
12,968000,Closed
20,167961000,Closed
18,2000,Closed
16,36003000,Closed
17,145063000,Closed
5,238929000,Closed
12,503000,Closed
5,149196000,Closed
5,73267000,Closed
20,66340000,Closed
3,235801000,Closed
19,173852000,Closed
11,82907000,Closed
12,7231000,Closed
18,1000,Closed
18,148016000,Closed
5,271107000,Closed
20,159563000,Closed
17,124508000,Closed
18,1000,Closed
20,274455000,Closed
9,754000,Closed
3,306937000,Closed
5,237689000,Closed
9,1116000,Closed
11,2000,Closed
18,3000,Closed
22,248515000,Closed
19,1000,Closed
3,140677000,Closed
3,252782000,Closed
12,6901000,Closed
9,1796998000,Closed
14,145725000,Closed
18,4000,Closed
3,1183527000,Closed
4,1000,Closed
20,1000,Closed
20,97604000,Closed
20,1000,Closed
